,Frame,Approacher
0,358,1
1,1143,1
2,1145,1
3,1273,1
4,1386,1
5,3089,1
6,3098,1
7,3113,1
8,3121,1
9,3164,2
10,3298,1
11,3553,1
12,3778,1
13,3825,1
14,4002,1
15,4035,1
16,4047,2
17,4132,1
18,4556,1
19,4589,1
20,4591,1
21,4596,1
22,4611,1
23,4710,1
24,4771,1
25,5358,1
26,5570,1
27,5573,1
28,5682,1
29,5739,2
30,5747,1
31,5773,1
32,5915,1
33,5923,1
34,5930,1
35,6029,1
36,6035,1
37,6092,1
38,6094,1
39,6111,1
40,6127,1
41,6230,1
42,6282,1
43,6396,1
44,6483,1
45,6578,1
46,6736,1
47,6779,1
48,6782,1
49,6787,1
50,6942,1
51,6967,1
52,6995,1
53,7033,2
54,7050,1
55,7063,1
56,7074,1
57,7122,2
58,7198,1
59,7232,1
60,7280,1
61,7722,1
62,7726,1
63,7733,1
64,7927,1
65,7949,1
66,8032,1
67,8152,1
68,8168,1
69,8308,1
70,8314,1
71,8350,1
72,8538,1
73,8564,2
74,8593,1
75,8597,1
76,8901,1
77,8963,2
78,8986,2
